Track Name,Artist name,Zine artist Name,Zine link,Process text,Track artist link(s),Zine artist link(s),Track artist bio,Zine artist bio,Track artist photo,Zine artist photo,Track number,Slug
Past/Lives,Nanditi,Avani,https://editor.p5js.org/Avani11/full/mA_T4NS10,"I usually begin a new track with a wish — to time-travel to a place, a moment, or memory. Or to invite someone into an inner landscape of feeling. For me, music is about evoking atmosphere. A journey — through space and time, or deep within.
This piece - Past/Lives - began when I recently revisited the music school I went to as a child, hidden within Jaipur’s historic walled city. In the courtyard stood a massive banyan tree — my favourite spot during breaks. From there, a whole world of sound unfolded: echoes of riyaaz, tabla, kathak, voices drifting from jharokhas, birds, wind, children playing. A soundscape alive with emotion and memory.
I also imagined the sounds that came before me — court musicians, ancient forts, centuries of ragas echoing across time. This track became a sonic drift through both personal and imagined pasts — a quiet thanks to my gurus, and to the traditions still humming in the walls.
Composed entirely in code on Sonic Pi, the piece layers field recordings, snippets of my own singing, and generative melodies based on Raag Darbari. The tabla, in Ektal, is coded too — where rhythm and recursion move together effortlessly. The cyclical nature of taal fits naturally into the logic of code. This is how I think, feel, and make music: with raga as my root system, code as my co-composer, and Sonic Pi as my instrument — electronic music, grounded in the classical.
When Avani and I began working on the zine, I shared the story behind the track — and she was immediately drawn to the memory of listening beneath the banyan tree. That moment became our starting point. The zine extends that atmosphere visually.
Camaraderie and joy in collaboration are central to our practice, so we nodded to our shared heritage by using Ajrakh motifs in the generative elements and colour palette — drawn from traditions that belong to us both.
The idea of listening to life around you — and the life that once was — resonated deeply. In the final poster of the zine, we tried to hold space for that layered listening and left the viewer with a quiet prompt to find their own.","https://www.instagram.com/nanditi.k/
https://nanditi.com/",https://avanixr.com/,"nanditi conjures sonic rituals from raga, memory, and machine. 
A musician, livecoder, and cultural technologist, her sets drift through tabla rhythms, ambient strings, emotional melodies, and field recordings — building immersive worlds shaped by classical structures and algorithmic logic. Her music opens portals between the ancient, the intimate, and the speculative, inviting you to lose sense of time, to dwell in presence, to dream. Based in India, nanditi’s musical journey spans Hindustani classical, folk traditions, and generative electronic music — often sampling her own voice. She is also a founder of code.drift, a collective turning urban noise and wanderings into livecoded sonic-visual city dreams through playful performance.","Avani Vidhani is a creative technologist with a background in communication design and 6+ years of experience in AR/VR, physical computing, and immersive installations. A former resident at Fabrica, she has collaborated with international teams, led workshops across Europe, and mentored at Maker’s Asylum. Now pursuing a Master’s in Expanded Media, her work explores futurity, public engagement, and making technology more human, playful, and accessible.",https://drive.google.com/file/d/13nw__-QODUvq_03o8NKTYtaUUyAsZ-al/view?usp=sharing,,1,past-lives
hyperbole_samosa,Roguentropy,Sameera,https://editor.p5js.org/sameera.mudgal4/full/dzac-NS5X,"Hyperbole samosa is an ode to two things I love that are absurdly different from each other: nature and memes. i always wanted this piece to have both these aspects come together in a track. it starts as a hyberbole with extended samples and streched hi-hats, segues into an interlude sample which i wanted to call ""samosa"" (just because), and ends with a chill electronic segment with breakbeat for posture.

The quirky samples in Hyperbole samosa made me ping Roguentropy for a collaboration. Fortunately right in our first conversation, I resonated with how he described the chill-electronic genre of this track, with a bit of dreamy,organic predisposition, and I knew I wanted to recreate this vibe in visuals. Two popping elements in the track were birds and samosas. So I experimented with patterns and movements, mixed with company-style bird paintings of India in the Colonial era. I also gravitated towards mythological representation of birds as a provocation juxtaposed with Roguentropy's take on AI, which is meant to be ephemeral and hilarious.",https://soundcloud.com/roguentropy,https://sameeramudgal4.wixsite.com/sameeramudgal,"Sangarshanan is a Software Engineer from planet Earth who loves  building stuff that helps and amuses him in equal measure. He discovered the joy of livecoding during Covid, realised what a superpower this is for someone with no formal music training. He loves playing around with audio samples and  generating weird sounds with algorithms. When bored you can find him making absurdist memes, yet another spotify playlist or staring straight into the void","Sameera is a creative based in Amsterdam and Delhi. She uses coding as a medium to make music and visual art since 2024 and has performed live at Codedrift, Algorave, and WIPLabs. Having worked as a design researcher in edtech, public health, speculative design, AI and music, she has come to believe that all things are connected. Which is why she entertains multiple hobbies simultaenously, and believes that tools will show the way. She also enjoys regenerative design, futures, yoga, and open-source tech culture, and gets art inspiration from everywhere.",,https://drive.google.com/drive/folders/1FoUCgaMu-PGMtkWU3SOyTpO49J5S06GW?usp=drive_link,2,hyperbole-samosa
ItLies,eardrummerman,ikecj,https://editor.p5js.org/mikecj184/full/ONZVzsxqo,"eardrummerman: I have been seeking out the values of why I want to make music in an age of AI algorithms that compose pastiche. I took a poem I wrote in 2023, an angst against growing low effort, infinite synthesized media manipulation of manufacturing consent that we are snowballing towards. In this piece, I decided to compose using a bespoke setup where I create text to audio samples, audio to audio samples and also sample manipulations using strudel.cc all shaping material created from my voice.",https://manaswimishra.com/,https://www.instagram.com/timeblurcollective,"eardrummerman aka Manaswi Mishra is a PhD researcher in the Opera of the Future group at the MIT Media Lab. His research explores strategies and frameworks for a new creative age of composing, performing and learning music using A.I. centered around bespoke human and cultural intent. Manaswi’s research on creating novel A.I. Lutherie can be seen in the development and performance of Operas like VALIS (2023), FLOW Symphony (2024, premiered in Seoul Arts Center) and exhibitions across the world (IFA Stuttgart ‘24, Burning Man ‘23, Boston tech poetics, Algorave India, Ljubljana Biennale 2025, Harvard Kirkland Art Gallery ‘24 etc.). His work on AI music performance and copyright law has been published and exhibited in the MIT Press, Harvard Tech Review, Washington Post, Boston Globe, Audio Developer Conference, Basel Academy of Art and Design FHNW, Conferences of Computational Creativity, ISEA Brisbane, CVPR 2024, Copyright Society 2023, Bloomberg Law etc. He also holds an MS in Media Arts and Sciences (MIT, 2021), MS in music technology (UPF, Barcelona) and a BTech (IITM, India). He is the founding instigator of the Music Tech Community in India organizing curricula, workshops, hackathons, conferences and community events across India.","Mallikarjun is a technocrat from Bangalore, with a graduate degree in Electronics and Communication Engineering. He works primarily with Electronics, Signal Processing and Computer Graphics, which is applied in interdisciplinary fields such as Music, Software arts and Data Visualization. He loves being in the complexity of computer algorithms to generate beautiful artforms. The passion for making art lead to starting Timeblur Studio in 2015 as a Creative Technologist. Now exploring the depths of Genrative AI solutions at Amazon as a Design Technologist.",,https://pbs.twimg.com/profile_images/1083603740849070080/nv8u2zw4_400x400.jpg,3,itlies
Baby Ghariyal,Tig3rbabu,Slackertendency,https://editor.p5js.org/bhoomi0698/full/UqfLPt1mH,the song is a patchwork of ideas and parts that I have made over the years. the main melody is one of the many tunes I sing to myself with nonsense lyrics. but I extrapolate the melody and translate it into code. the title is cutesy but also indigenous. gharials are awesome. ,https://linktr.ee/tig3rbabu,http://instagram.com/slackertendency,A daily news podcast producer by day and sonic pi tinkerer on weekends. ,Fill me in!,,,4,baby-ghariyal
ashlands,the winterscapes,Mangesh,https://editor.p5js.org/mkangesh29/full/VCLdvczx1,"The name ""the winterscapes"" started from a purpose to capture sounds of a time, sounds of a place through imagination and deliberation. Lamenting what has been and what will come to be is somewhat self-inflicting but as this is largely becoming the direction of the pieces, I am finding the lament to be the debt paid for a better tomorrow. This particular piece, ashlands, occurs in world of permanent storms, a place struggling after an era of errors of our ways. In the pain, sorrow and confusion, there are tones of people looking for what is right and what is meaninig for them. I started this piece with all the elements I wanted to portray and layered them out. Almost all of the sounds are synthesised sounds in VCV Rack with a fairly simple sequencing but added chaos and glitch- which fit in with the world I imagine. I then worked on reigning in the sounds and in the mixing process, tried to highlight the flow of the track.",https://www.youtube.com/@prtysh,mangeshmahajan.in,"Pratyush aka the winterscapes, is a musician operating from Bangalore. In his previous life, he was academically interested in the question of artificial life, uncanny valley and how much human perception dictates the answer to questions within these domains. Now decoupled from academia, the idea of generativeness has sustained from that interest and he continues to explore machine generated music in his own compositions. While he believes that machines can and do make engaging music, his own biases rely on iterating music through algorithms and human interpretations, to build something that he finds poetic."," Mangesh is an artist whose practice spans music, photography, filmmaking, and creative tech, driven by a continuous spirit of learning and experimentation. As part of the code.drift collective, he focuses on improvising music and visuals through live coding, utilizing tools such as Strudel and p5.js to explore real-time algorithmic creation. In his visual practice, he employs a minimalist aesthetic, with his films delving into the human experience within spaces. In his music practice, he aims to evoke calm, relief, and healing, as well as their inverse, composing and improvising with synthesizers, VCV Rack, and acoustic instruments like flute, guitar, and keyboard, navigating towards new sonic and visual territories.",,https://drive.google.com/file/d/1cK5lfDkbHvxKhjnSiXzRMSkxKMlAnSYC/view?usp=drivesdk,5,ashlands
infract[ion],Spiralynk,Sushma,https://editor.p5js.org/sushmaj/full/6n1T2G5a_,"infract[ion] is an exploration of organised chaos by Spiralynk. It is a sonic system intentionally fractured from within.

Constructed using a hybrid approach featuring procedural audio and neural synthesis, the piece leverages glitchy percussive structures, unstable tonal fragments, and machine-learnt textures generated using variational autoencoders (VAEs) and timbre transfer models. These elements are shaped by code, not performance, until they’re fractured again.

Although the source materials emerge from non-repeating, algorithmically generated processes, curated excerpts of machine-generated audio were restructured, reintroducing form without sacrificing the inherent volatility of the generative system. The track exists in tension: between structure and collapse, determinism and entropy, listening and parsing.

The title, infract[ion], references a conceptual and architectural breach: a localised rupture indexed within a broader system. The square brackets suggest modularity, selection, and controlled deviation. It’s a signal that this rupture is not accidental. It is chosen, framed, and composed.

This work forms part of the broader Fractured Neurons project, a research-driven audio practice investigating procedural composition, AI-generated timbre, and the performability of machine learning in contemporary sound art.
",https://www.spiralynk.com/,https://readymag.website/u3003915123/sushma/,"Spiralynk is the alias of Ankit Malik, an interdisciplinary artist, creative technologist, and researcher working at the intersection of sound, code, and machine intelligence. His work spans algorithmic composition, neural audio synthesis, immersive sound design, and generative audio-reactive visuals. His current practice explores real-time sonic systems powered by neural networks, developing new approaches to human-computer interaction and procedural audio.

He has performed across the UK, Europe, and India, with appearances at Magnetic Fields Festival, Reset Networks, Goethe-Institut, and Algorave India, and has composed for experimental theatre and multimedia works in Cambridge, Prague, and Kolkata.

Ankit has consulted on Acoustic Vehicle Alerting Systems and Sonic Interaction Design in the automotive industry and co-founded the media collective Bonafide Seven. He holds a Master of Music from Berklee College of Music and bachelor's degrees from Anglia Ruskin University and St. Xavier’s College, Kolkata.","Sushma is an artist and educator who enjoys combining various mediums in unusual ways to create moments of delight. They observe the world deeply, obsessively document everyday life, and dream of a gentle world. Their creations often revolve around ordinary found objects, transforming them into whimsical works of art.",Ankit_Malik_Spiralynk.jpg,,6,infraction
Taal Summit,Trophallaxis,Roshini,https://editor.p5js.org/satyarth/full/DqhplVTv0,"Satyarth: When I set out to make a track for this compilation, I wanted to make something that highlights aspects of livecoding that set it apart from more traditional music production methods and decided to focus on playing with time. My main livecoding tool is Tidal Cycles, which takes a cyclical approach to time that it happens to share with Indian classical music. Within a time cycle, the taal determines how the cycle is subdivided into evenly spaced chunks. What I ended up with is a composition that takes a fixed time cycle and progresses through different numbers of divisions, from 1 up to the summit of 16 and then back down to 1. So it's a kind of journey through different taals, seamlessly cycling through them in a way that I think it'd be very hard for human musicians to do. I'm a tabla player, I've been learning for about 6 years now, and diving into the intricacies of Indian classical rhythms has been a very exciting journey. My guruji Ashish Mishra, who's always encouraging me to be a sound explorer even beyond the context of classical music, has been my biggest inspiration here, and the vocal samples in the intro and ending are from recordings of our classes.",http://satyarth.me/trophallaxis/,Fill me in!,"Satyarth Mishra Sharma is a researcher, musician, and visual artist based in Moscow. A member of the experimental music collective Moscow Noise Manufactory, his music project Trophallaxis brings an algorithmic approach to Indian classical music with electronic sounds.  As a tabla player, he seeks full cyborg integration with his instrument through DIY hardware and software while leaving its soul intact. He is also the founder of the visual duo Cactus Juice, which integrates generative live-coding and chaotic physical processes. His musical and artistic practice focuses on combining his two loves of tabla and cycling with otherworldly modulations and feedback loops. In his academic life, he’s recently completed his PhD in machine learning applied to genetics.",Fill me in!,neurotic_cropped.jpg,,7,taal-summit
Gulf of Hypernerds,Khoparzi,Suraj Barthy,https://editor.p5js.org/surajbarthy/full/kjylr6Gd2,Fill me in!,https://khoparzi.com,https://surajbarthy.com/,"Abhinay Khoparzi is a multidisciplinary artist, and creative technologist from Allahabad, India who maintains a practice across film, video, music and web technologies. After cofounding Algorave India in 2018 Abhinay has been instigating computational arts events and communities all over the country and has been pushing the Algorave scene in collaboration with artist collectives in various cities. Khoparzi performs with TidalCycles and Hydra and has played experimental and dance music performances at Fat Finger Mayhem (Mumbai, 2018, 2019), ICLC (online, 2019, 2020), ISMIR Conf (2022), U-Oslo RITMO Rave (2020), Github Universe and Satellite (2020, 2021, 2022) and many more.","Suraj Barthy Selvabarathy is a Brooklyn-based media artist bridging human connection, tradition, and technology. Rooted in a lineage of silk saree designers, his work explores the traces we leave across time. Advocating for technology to enhance human agency, he invites viewers to engage with sustainability and legacy through digital interactivity and analog weaving. Suraj uses textiles, physical computing, generative visuals, and code to foster connections between people and their histories. His work has been featured at NYCxDesign, Electronic Textile Camp, Maker Faire, Harvestworks, DEMO Festival in the Netherlands, and in Laurie Anderson’s ARK.",,https://drive.google.com/file/d/1XN79Tub_cfCwu2FIR6Zz5oSwRSdcpC0G/view?usp=drivesdk,8,gulf-of-hypernerds
D:$!n+e(-),beatnyk,Abhishek Kapahi,https://editor.p5js.org/abhikapahi/full/okdDcs7Nq,"I wish there was a procedural thought. I simply wanted to make a banger with chaotic drum patterns glued to some melody/bassline. My initial draft was all over the place, reigning absolute chaos, whereas the second iteration tamed it down. The third hit the sweet spot, but it still felt like it needed a lot of work to make it tighter or less repetitive. My iterations after that made the track either go longer or changed the entire mood. So, I came back to my nearly done third iteration again and finalized it for this compilation.

For the zine, well, I had to cook something up because, again, there was no thought beyond wanting a banger for a track. So, after listening to the chaos I made and the inner peace I crave, I boiled down the track's idea to just that. After having a conversation with Abhishek, we figured it’d be interesting to juxtapose it with a rat race but symbolically play with fishes (because my crazy brain stylized the name with special characters that made it look like a fish). Abhishek put together the zine's design, playing with the chaos of a toxic workplace and the idea of fishes (metaphorically us) being infected by the toxicity. We played with words that relate to us when we think of chaos or toxic culture and our inner urge to fight back.

The code/poetry is an idea that came out of this practice of creating with code. While it carries certain elements from a formal programming language, it is a basic poem that talks one through the chaos and the need for peace. It also speaks about the process of iterations and repetition, which played a major role in this collaboration.

Disinfect, or D:$!n+(-), is a track that solely drives the listener through a catchy tune and unrhythmic drum grooves before leaving them with an abrupt silence, releasing the listener from the grips of chaos. The zine brings this vision through visuals, adding to the idea and experience.",https://bento.me/beatnyk,https://abhishekkapahi.framer.website/,"beatnyk is an electronic musician and sound designer dwelling in a cave. He passes his time questioning the golden triangle - Sound, Noise and Music: ""What makes it one and not the other? Or at what point does one become the other?"" On his other days, he could be found loitering around being all over the place, often in a daze. 

He considers his laptop/machine as an instrument and can be caught trying to crash his system as an act of performance. He frequently collaborates with dancers, filmmakers, musicians, and artists of other forms, essentially dreamers to narrate stories and create experiences for the listener/viewer.

His work has been showcased at India Art Fair, IDSFFK, and Norient Sounds to name a few. He's played for/at Unusual London, GitHub Satellite, Reproduce, Korean Embassy, Anant Art Gallery and multiple Algoraves. He was a resident for the Internet Public Radio in 2021.",Fill me in!,,,9,disinfect
insectual,Kaldi Moss,Sai Ram Ved Vijapurapu,https://editor.p5js.org/sairamved/full/DLww5rIgC,"Sai: When I first listened to the track [insectual], I felt compelled to close my eyes and feel the space. The sound immediately commanded me to try finding something, anything, in the darkness. In our first call discussing the piece, themes that came up were that of fear, anticipation, and an encounter with the unknown. What happens in a forest? There's no centrality, or perhaps there are multiple. All the visual ideas that then popped into my head were along the lines of tiny agents finding their way around a space. This is eventually what led to the visuals you see before you.",kaldimoss.github.io,http://instagram.com/sairamved,"Moss is a multi-disciplinary artist interested in sense perception, time, networked systems, insect perception, tree intelligence and experiences of beings that are not human. They are a part of Cynk Collective, a noise band producing immersive audiovisual concerts. In addition, they are the artistic director at Walkin Studios, an independent multidisciplinary art studio and project space in Bangalore, India","Sai Ram Ved Vijapurapu (he/him) is an information designer crafting delightful experiences with data & technology who draws inspiration from natural phenomena, often using code as a means to that end. The turbulent material he chooses to work with, data, carries with it the weight of human experiences it silently witnesses; which then acts as the subject of transformation, revealing that which was previously unseen. In the past, his work has been recognised and celebrated by CultureHub, Metropolitan Transportation Authority, Bangalore International Center and Information is Beautiful, among others. Sai is currently at NYU's Interactive Telecommunications Program where he continues to evolve his practice by imbuing interactivity in his work.",,,10,insectual
